Summary,Issue Type,Description,Labels,Story Points,Owner,Week,Ticket ID
"W1-BE-01 Harden createEvent validation and permission checks",Story,"Harden createEvent input validation and committee-admin permission checks.","safe-track,week-1,backend,events",5,"BE Lead",1,"W1-BE-01"
"W1-BE-02 Normalize createEvent error model",Story,"Return consistent error codes and messages for createEvent mutation failures.","safe-track,week-1,backend,events",3,"BE Lead",1,"W1-BE-02"
"W1-BE-03 Committee-wise events list query with sorting",Story,"Implement committee-scoped events list query with deterministic sorting.","safe-track,week-1,backend,events",5,"BE Lead",1,"W1-BE-03"
"W1-BE-04 Event details query with not-found handling",Story,"Implement event details query and graceful not-found behavior.","safe-track,week-1,backend,events",3,"BE Lead",1,"W1-BE-04"
"W1-FE-01 Event create form with validation and submit states",Story,"Build event create form with field validation, loading, and error states.","safe-track,week-1,frontend,events",5,"FE Lead",1,"W1-FE-01"
"W1-FE-02 Event list screen with loading and empty states",Story,"Build events list UI with loading, empty, and error handling.","safe-track,week-1,frontend,events",5,"FE Lead",1,"W1-FE-02"
"W1-FE-03 Event detail screen basic layout",Story,"Build event details view for core fields and basic layout.","safe-track,week-1,frontend,events",3,"FE Lead",1,"W1-FE-03"
"W1-FE-04 Role-based create button visibility",Story,"Show event create action only to authorized committee admins.","safe-track,week-1,frontend,events",2,"FE Lead",1,"W1-FE-04"
"W1-INT-01 Wire create to list to detail end-to-end",Task,"Integrate frontend and backend for event create, list, and detail flow.","safe-track,week-1,integration,events",2,"Integrator",1,"W1-INT-01"
"W1-QA-01 Smoke suite for event core",Task,"Execute smoke tests for event create/list/detail and auth behavior.","safe-track,week-1,qa,events",3,"QA Lead",1,"W1-QA-01"
"W2-BE-01 Add event member API",Story,"Implement API to add EVENT_MEMBER role entries in users_events.","safe-track,week-2,backend,membership",5,"BE Lead",2,"W2-BE-01"
"W2-BE-02 Remove event member API",Story,"Implement API to remove event member mapping safely.","safe-track,week-2,backend,membership",3,"BE Lead",2,"W2-BE-02"
"W2-BE-03 Promote to event admin API",Story,"Implement API to assign EVENT_ADMIN role.","safe-track,week-2,backend,membership",5,"BE Lead",2,"W2-BE-03"
"W2-BE-04 Demote or remove event admin API",Story,"Implement API to demote or remove EVENT_ADMIN role.","safe-track,week-2,backend,membership",3,"BE Lead",2,"W2-BE-04"
"W2-BE-05 Members and admins list endpoints",Story,"Implement read endpoints to list event members and admins.","safe-track,week-2,backend,membership",3,"BE Lead",2,"W2-BE-05"
"W2-FE-01 Members tab with add and remove controls",Story,"Build members management tab with add and remove actions.","safe-track,week-2,frontend,membership",5,"FE Lead",2,"W2-FE-01"
"W2-FE-02 Admins tab with promote and demote controls",Story,"Build admins management tab for promote and demote actions.","safe-track,week-2,frontend,membership",5,"FE Lead",2,"W2-FE-02"
"W2-FE-03 User picker search component",Story,"Build searchable picker for selecting users during role assignment.","safe-track,week-2,frontend,membership",3,"FE Lead",2,"W2-FE-03"
"W2-INT-01 Sync updates into hierarchy-dependent views",Task,"Verify role changes are reflected in hierarchy and relational views.","safe-track,week-2,integration,membership",2,"Integrator",2,"W2-INT-01"
"W2-QA-01 Membership permissions and regression checks",Task,"Run permissions and regression tests for membership management.","safe-track,week-2,qa,membership",3,"QA Lead",2,"W2-QA-01"
"W3-BE-01 Migration for event_role_requests table",Story,"Create migration for event_role_requests with status lifecycle and audit fields.","safe-track,week-3,backend,requests",5,"BE Lead",3,"W3-BE-01"
"W3-BE-02 Send request API with duplicate pending prevention",Story,"Implement request submission endpoint with duplicate-pending guard.","safe-track,week-3,backend,requests",5,"BE Lead",3,"W3-BE-02"
"W3-BE-03 Pending requests inbox API",Story,"Implement endpoint for event admins to fetch pending requests.","safe-track,week-3,backend,requests",3,"BE Lead",3,"W3-BE-03"
"W3-BE-04 My requests API",Story,"Implement endpoint for requester to fetch own request history and statuses.","safe-track,week-3,backend,requests",3,"BE Lead",3,"W3-BE-04"
"W3-BE-05 Approve request API with users_events upsert",Story,"Approve request transactionally and upsert final membership mapping.","safe-track,week-3,backend,requests",5,"BE Lead",3,"W3-BE-05"
"W3-BE-06 Reject request API",Story,"Implement rejection endpoint with audit action metadata.","safe-track,week-3,backend,requests",3,"BE Lead",3,"W3-BE-06"
"W3-BE-07 Cancel request API",Story,"Allow requester to cancel own pending request with cancel metadata.","safe-track,week-3,backend,requests",2,"BE Lead",3,"W3-BE-07"
"W3-FE-01 Join request UI action",Story,"Add join request CTA and request submission UX in event context.","safe-track,week-3,frontend,requests",3,"FE Lead",3,"W3-FE-01"
"W3-FE-02 My request status timeline chips",Story,"Show request status timeline and chips for requester.","safe-track,week-3,frontend,requests",3,"FE Lead",3,"W3-FE-02"
"W3-FE-03 Admin inbox with approve reject controls",Story,"Build admin inbox screen to approve or reject pending requests.","safe-track,week-3,frontend,requests",5,"FE Lead",3,"W3-FE-03"
"W3-INT-01 Verify accept flow updates role visibility",Task,"Validate approval flow updates membership and role-aware UI.","safe-track,week-3,integration,requests",2,"Integrator",3,"W3-INT-01"
"W3-QA-01 Lifecycle and race-condition smoke tests",Task,"Execute request lifecycle and concurrency smoke tests.","safe-track,week-3,qa,requests",5,"QA Lead",3,"W3-QA-01"
"W4-BE-01 Event master catalog schema",Story,"Introduce master catalog schema for logical events.","safe-track,week-4,backend,year-model",5,"BE Lead",4,"W4-BE-01"
"W4-BE-02 Yearly event instance schema and keys",Story,"Introduce yearly instance schema with unique constraints.","safe-track,week-4,backend,year-model",5,"BE Lead",4,"W4-BE-02"
"W4-BE-03 Backfill existing events into master and year model",Story,"Backfill historical events into new master/year structure.","safe-track,week-4,backend,year-model",5,"BE Lead",4,"W4-BE-03"
"W4-BE-04 Year-aware create list detail resolver updates",Story,"Update create/list/detail resolvers to support year context.","safe-track,week-4,backend,year-model",3,"BE Lead",4,"W4-BE-04"
"W4-BE-05 Backward compatibility response shaping",Task,"Preserve response compatibility for existing frontend consumers.","safe-track,week-4,backend,year-model",2,"BE Lead",4,"W4-BE-05"
"W4-FE-01 Reusable year selector component",Story,"Build reusable year selector for event screens.","safe-track,week-4,frontend,year-model",3,"FE Lead",4,"W4-FE-01"
"W4-FE-02 Year filter integration on list screen",Story,"Integrate year selector with event list filtering.","safe-track,week-4,frontend,year-model",3,"FE Lead",4,"W4-FE-02"
"W4-FE-03 Year context handling in create and detail screens",Story,"Apply selected year context during create and detail flows.","safe-track,week-4,frontend,year-model",2,"FE Lead",4,"W4-FE-03"
"W4-INT-01 Cross-year isolation verification",Task,"Verify data isolation across years and no cross-year collisions.","safe-track,week-4,integration,year-model",3,"Integrator",4,"W4-INT-01"
"W4-QA-01 Migration validation and year-filter regression",Task,"Validate migration output and run year-filter regression tests.","safe-track,week-4,qa,year-model",3,"QA Lead",4,"W4-QA-01"
"W5-BE-01 Clone API contract and dry-run mode",Story,"Define clone API contract with dry-run support.","safe-track,week-5,backend,clone",3,"BE Lead",5,"W5-BE-01"
"W5-BE-02 Ensure or create target-year event instances",Story,"Ensure target-year event instances exist before cloning details.","safe-track,week-5,backend,clone",5,"BE Lead",5,"W5-BE-02"
"W5-BE-03 Carry-forward accepted member admin mappings",Story,"Copy accepted member/admin mappings from source year.","safe-track,week-5,backend,clone",5,"BE Lead",5,"W5-BE-03"
"W5-BE-04 Program clone with lineage refs",Story,"Clone programs and store lineage references for traceability.","safe-track,week-5,backend,clone",5,"BE Lead",5,"W5-BE-04"
"W5-BE-05 Task deep clone with parent-child remapping",Story,"Clone task trees with parent-child remapping and lineage fields.","safe-track,week-5,backend,clone",8,"BE Lead",5,"W5-BE-05"
"W5-BE-06 Idempotency and rerun safety",Story,"Implement idempotent clone behavior for safe re-execution.","safe-track,week-5,backend,clone",5,"BE Lead",5,"W5-BE-06"
"W5-BE-07 Clone run audit log",Task,"Store clone run metadata and result counters for auditability.","safe-track,week-5,backend,clone",3,"BE Lead",5,"W5-BE-07"
"W5-FE-01 Clone wizard UI",Story,"Build step-based clone wizard for source and target year selection.","safe-track,week-5,frontend,clone",3,"FE Lead",5,"W5-FE-01"
"W5-FE-02 Dry-run preview screen",Story,"Show clone dry-run preview counts and warnings before execution.","safe-track,week-5,frontend,clone",3,"FE Lead",5,"W5-FE-02"
"W5-FE-03 Execute clone and result summary screen",Story,"Run clone and display success/failure summary with counts.","safe-track,week-5,frontend,clone",3,"FE Lead",5,"W5-FE-03"
"W5-INT-01 Verify rerun does not duplicate data",Task,"Run integration checks for rerun safety and duplicate prevention.","safe-track,week-5,integration,clone",3,"Integrator",5,"W5-INT-01"
"W5-QA-01 Clone functional and integrity suite",Task,"Execute clone E2E tests and integrity validations.","safe-track,week-5,qa,clone",5,"QA Lead",5,"W5-QA-01"
"W6-BE-01 Election schema migrations",Story,"Create election-related schema for positions, nominations, votes, and results.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-01"
"W6-BE-02 Position management APIs",Story,"Implement create/update/close APIs for event election positions.","safe-track,week-6,backend,elections",3,"BE Lead",6,"W6-BE-02"
"W6-BE-03 Nomination APIs",Story,"Implement nomination submission and validation APIs.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-03"
"W6-BE-04 Voting APIs with one-vote constraints",Story,"Implement voting APIs with eligibility and one-vote enforcement.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-04"
"W6-BE-05 Result computation and publish APIs",Story,"Compute winners and publish year-specific holders.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-05"
"W6-FE-01 Position board and phase states",Story,"Build election position board with phase/status indicators.","safe-track,week-6,frontend,elections",3,"FE Lead",6,"W6-FE-01"
"W6-FE-02 Nomination and voting screens",Story,"Build screens for nomination and voting actions.","safe-track,week-6,frontend,elections",5,"FE Lead",6,"W6-FE-02"
"W6-FE-03 Results and winner display",Story,"Display election results and final winners per position.","safe-track,week-6,frontend,elections",3,"FE Lead",6,"W6-FE-03"
"W6-INT-01 Year-isolation and role propagation checks",Task,"Validate year isolation and winner role propagation.","safe-track,week-6,integration,elections",3,"Integrator",6,"W6-INT-01"
"W6-QA-01 End-to-end election and edge-case suite",Task,"Execute full election flow and edge-case regression tests.","safe-track,week-6,qa,elections",5,"QA Lead",6,"W6-QA-01"